FR0000120578;SASY.PA;SAN.PA;SANOFI
FR0000120271;TOTF.PA;FP.PA;TOTAL
DE0007236101;SIEGn.DE;SIE.DE;SIEMENS
DE000BAY0017;BAYGn.DE;BAYN.DE;BAYER
DE000BASF111;BASFn.DE;BAS.DE;BASF
DE0007164600;SAPG.DE;SAP.DE;SAP
BE0003793107;ABI.BR;ABI.BR;ANHEUSER-BUSCH
ES0113900J37;SAN.MC;SAN.MC;BCO SANTANDER
NL0000009355;UNc.AS;UN;UNILEVER
DE0008404005;ALVG.DE;ALV.DE;ALLIANZ
IT0003132476;ENI.MI;ENI.MI;ENI
FR0000131104;BNPP.PA;BNP.PA;BNP
ES0178430E18;TEF.MC;TEF.MC;TELEFONICA
DE0007100000;DAIGn.DE;DAI.DE;DAIMLER
ES0113211835;BBVA.MC;BBVA.MC;BCO BILBAO VIZCAYA
FR0000121014;LVMH.PA;MC.PA;LVMH MOETHENNESSY
FR0000120644;DANO.PA;BN.PA;DANONE
FR0000121972;SCHN.PA;SU.PA;SCHNEIDER ELECTRIC
FR0000120073;AIRP.PA;AI.PA;AIR LIQUIDE
FR0000120321;OREP.PA;OR.PA;L'OREAL
DE0005140008;DBKGn.DE;DBK.DE;DEUTSCHE BANK
FR0000120628;AXAF.PA;CS.PA;AXA
DE000ENAG999;EONGn.DE;EOAN.DE;E.ON
DE0005557508;DTEGn.DE;DTE.DE;DEUTSCHE TELEKOM
DE0008430026;MUVGn.DE;MUV2.DE;MUENCHENER RUECK
DE0007664039;VOWG_p.DE;VOW.DE;VOLKSWAGEN PREF
ES0148396015;ITX.MC;ITX.MC;INDITEX
DE0005190003;BMWG.DE;BMW.DE;BMW
NL0000303600;ING.AS;ING;ING
FR0010208488;GSZ.PA;GSZ.PA;GDF SUEZ
NL0000009538;PHG.AS;PHG;PHILIPS ELECTRONICS
FR0000127771;VIV.PA;VIV.PA;VIVENDI
FR0000130809;SOGN.PA;GLE.PA;SOCIETE GENERALE
NL0000235190;EAD.PA;EAD.PA;EADS
NL0010273215;ASML.AS;ASML;ASML HLDG
FR0000121667;ESSI.PA;EI.PA;ESSILOR INT.
ES0144580Y14;IBE.MC;IBE.MC;IBERDROLA
IT0004781412;CRDI.MI;UCG.MI;UNICREDIT
FR0000125486;SGEF.PA;DG.PA;VINCI
FR0000124711;UNBP.AS;Ul.AS;UNIBAIL-RODAMCO
DE000A1EWWW0;ADSGn.DE;ADS.DE;ADIDAS
IT0003128367;ENEI.MI;ENEL.MI;ENEL
IT0000062072;GASI.MI;G.MI;GENERALI
DE0005552004;DPWGn.DE;DPW.DE;DEUTSCHE POST
IT0000072618;ISP.MI;ISP.MI;INTESA SANPAOLO
FR0000133308;FTE.PA;FTE.PA;FRANCE TELECOM
DE0007037129;RWEG.DE;RWE.DE;RWE
FR0000125007;SGOB.PA;SGO.PA;SAINT GOBAIN
FR0000121485;PRTP.PA;PP.PA;PPR
FR0000120172;CARR.PA;CA.PA;CARREFOUR
