ISIN;nom;ticker
GB00B8W67B19;LIBERTY GLOBAL C;LBTYK
IE00B58JVZ52;SEAGATE TECHNOLOGY;STX
IL0010824113;CHECK POINT SOFTWAR;CHKP
SG9999006241;BROADCOM INC;AVGO
US00507V1098;ACTIVISION BLIZZARD;ATVI
US00724F1012;Adobe Systems Incorporate;ADBE
US0153511094;ALEXION PHARMACEUTI;ALXN
US0162551016;ALIGN TECHNOLOGY;ALGN
US02079K1079;Alphabet C;GOOG
US02079K3059;Alphabet A;GOOGL
US0231351067;Amazon.Com, Inc.;AMZN
US02376R1023;American Airlines;AAL
US0311621009;Amgen, Inc.;AMGN
US0326541051;ANALOG DEVICES INC;ADI
US0378331005;Apple Inc.;AAPL
US0382221051;Applied Materials, Inc.;AMAT
US0527691069;Autodesk;ADSK
US0530151036;AUTOMATIC DATA PROC;ADP
US0567521085;Baidu.com;BIDU
US09061G1013;Biomarin;BMRN
US09062X1037;Biogen Idec;BIIB
US1264081035;CSX CORP;CSX
US12673P1057;CA Inc;CA
US1273871087;CADENCE DESIGN SYST;CDNS
US1510201049;Celgene;CELG
US1567821046;CERNER CORP;CERN
US16117M3051;CHARTER COMMUNICATI;CHTR
US17275R1023;Cisco Systems, Inc.;CSCO
US1729081059;Cintas Corporation;CTAS
US1773761002;Citrix Systems, Inc.;CTXS
US1924461023;Cognizant tech.;CTSH
US20030N1019;Comcast Corporation;CMCSA
US22160K1051;Costco Wholesale Corp.;COST
US22943F1003;CTRIP;TCOM
US2490301072;Dentsply International In;XRAY
US2567461080;DOLLAR TREE INC;DLTR
US2786421030;Ebay Inc.;EBAY
US2855121099;Electronic Arts;EA
US30212P1057;Expedia Inc;EXPE
US3021821000;Express Scripts, Inc.;ESRX
US30303M1027;Facebook;FB
US3119001044;Fastenal Company;FAST
US3377381088;Fiserv, Inc.;FISV
US3755581036;Gilead Sciences, Inc.;GILD
US4180561072;HASBRO INC;HAS
US4364401012;HOLOGIC;HOLX
US4456581077;J.B. HUNT TRANSPORT;JBHT
US45168D1046;IDEXX LABORATORIES;IDXX
US4523271090;ILLUMINA INC.;ILMN
US45337C1027;INCYTE CORP;INCY
US4581401001;Intel Corporation;INTC
US4612021034;Intuit Inc.;INTU
US46120E6023;Intuitive surg.;ISRG
US47215P1066;JD.COM;JD
US4824801009;Kla-Tencor Corporation;KLAC
US5007541064;KRAFT HEINZ;KHC
US5128071082;Lam Research;LRCX
US5719032022;MARRIOTT INTL A;MAR
US57772K1016;MAXIM INTEGRATED;MXIM
US58733R1023;MERCADOLIBRE INC;MELI
US5949181045;Microsoft Corporation;MSFT
US5950171042;Microchip Technology Inc.;MCHP
US5951121038;MICRON TECHNOLOGY I;MU
US6092071058;MONDELEZ;MDLZ
US6117401017;MONSTER BEVERAGE;MNST
US6285301072;MYLAN INC.;MYL
US64110L1061;NETFLIX INC;NFLX
US64110W1027;Netease;NTES
US67066G1040;Nvidia Corporation;NVDA
US67103H1077;O'REILLY AUTOMOTIVE;ORLY
US6937181088;Paccar Inc.;PCAR
US7043261079;Paychex, Inc.;PAYX
US70450Y1038;PAYPAL;PYPL
US7134481081;PEPSICO INC;PEP
US7415034039;Booking Holdings Inc;BKNG
US7475251036;Qualcomm, Inc.;QCOM
US75886F1075;REGENERON PHARMACEU;REGN
US7782961038;ROSS STORES INC;ROST
US8064071025;Henry Schein, Inc.;HSIC
US82481R1068;SHIRE PLC ADS;SHPG
US82967N1081;SIRIUS XM RADIO INC;SIRI
US83088M1027;SKYWORKS SOLUTIONS ;SWKS
US8552441094;Starbucks Corporation;SBUX
US8715031089;Symantec Corporation;SYMC
US8716071076;SYNOPSYS INC;SNPS
US8725901040;T-MOBILE US;TMUS
US8740541094;TAKE TWO INTERACTIVE;TTWO
US88160R1014;TESLA MOTORS;TSLA
US8825081040;TEXAS INSTRUMENTS I;TXN
US90130A1016;21ST CENT FOX A CM;FOXA
US90130A2006;21ST CENTURY FOX B;FOX
US90384S3031;ULTA SALON COSMETICS;ULTA
US92345Y1064;VERISK ANALYTICS IN;VRSK
US92532F1003;Veterx pharma;VRTX
US92857W2098;VODAFONE GROUP PLC;VOD
US9314271084;WALGREENS BOOTS AL;WBA
US9581021055;WESTERN DIGITAL COR;WDC
US98138H1014;WORKDAY;WDAY
US9831341071;Wynn resorts inc.;WYNN
US9839191015;Xilinx, Inc.;XLNX
USN070592100;ASML HOLDING;ASML
